,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,763,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 35.032,00"
1,764,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 35.032,00"
2,765,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 35.032,00"
3,766,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 35.032,00"
4,557,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 35.032,00"
5,558,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 35.032,00"
6,559,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 35.032,00"
7,560,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 35.032,00"
8,561,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 35.032,00"
9,562,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SUMÉ,"R$ 35.032,00"
10,148,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SUMÉ,"R$ 37.500,00"
11,151,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SUMÉ,"R$ 3.060,00"
12,152,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SUMÉ,"R$ 3.060,00"
13,296,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SUMÉ,"R$ 6.500,00"
14,511,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SUMÉ,"R$ 18.000,00"
15,649,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SUMÉ,"R$ 36.930,00"
16,756,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SUMÉ,"R$ 71.304,00"
17,516,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.738,07"
18,517,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.738,07"
19,518,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.738,07"
20,519,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.738,07"
21,377,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.738,07"
22,378,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.738,07"
23,379,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.738,07"
24,380,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.738,07"
25,381,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.738,07"
26,382,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SUMÉ,"R$ 7.738,17"
27,623,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 281.789,27"
28,689,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 334.852,91"
29,721,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 370.513,85"
30,777,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 463.376,08"
31,615,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 266.801,26"
32,694,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 330.741,91"
33,723,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 367.729,41"
34,772,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 445.111,76"
35,518,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 269.117,24"
36,586,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 326.069,69"
37,757,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 586.683,19"
38,797,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SUMÉ,"R$ 708.098,24"
